@relation i2p

@attribute avg_payload_len numeric
@attribute max_payload_len numeric
@attribute fragment_ratio numeric
@attribute entopy_len numeric
@attribute variance numeric
@attribute seq_exist numeric
@attribute isI2P {yes,no}

@data
590,1448,0,2.409267,523.515282,1,yes
1001.411765,1460,0.705882,1.809376,752.973534,1,yes
477.714286,784,0,2.306891,403.106769,1,yes
997.090909,1448,0.704545,1.883447,740.252646,1,yes
663.111111,1452,0,2.248529,560.800011,1,yes
566.857143,1436,0,2.306891,519.275252,1,yes
594,1460,0,2.170951,538.801008,1,yes
618,1448,0,2.409267,548.064093,1,yes
588,1460,0,2.245099,530.657454,1,yes
592,1448,0,2.409267,525.105704,1,yes
594,1440,0,2.139836,533.996879,1,yes
1053.966851,1448,0.740331,1.695743,762.205052,1,yes
991.466667,1448,0,2.396241,747.174477,1,yes
598,1448,0,2.324409,534.269815,1,yes
594,1428,0,2.324409,529.291202,1,yes
1036.969697,2144,0.734848,1.74199,753.858082,1,yes
477.714286,784,0,2.306891,403.106769,1,yes
929.103448,1402,0.724138,1.867701,684.077688,1,yes
1056,1402,0.628571,1.747155,754.780803,0,yes
1056,1056,1,0.992267,798.260967,0,yes
943,1448,0.75,1.744238,714.02609,1,yes
600,1440,0,2.213298,535.328816,1,yes
704,1440,0,2.091917,605.271069,1,yes
590,1448,0,2.245099,531.313467,1,yes
614,1448,0,2.409267,542.971684,1,yes
616,1448,0,2.245099,552.936404,1,yes
616,1440,0,2.324409,548.363126,1,yes
616,1448,0,2.324409,549.001232,1,yes
965.74359,1448,0.641026,1.978105,723.141195,1,yes
987.692308,1460,0.653846,1.931791,715.434615,1,yes
992.857143,1448,0.678571,1.880993,731.549411,1,yes
1017.25,1428,0.484375,2.12599,750.116476,1,yes
614,1448,0,2.324409,547.405001,1,yes
881.655172,1440,0.551724,2.324514,626.251056,1,yes
982.333333,1440,0.708333,1.848888,727.319184,1,yes
1020.444444,1448,0.606061,1.868344,763.168411,1,yes
1767.039721,3200,0.284957,1.636441,1272.570062,1,yes
600,1448,0,2.409267,531.725493,1,yes
600,1440,0,2.139836,539.125217,1,yes
1069.333333,2144,0.727273,1.788807,787.888971,1,yes
892.521739,1448,0.652174,1.945384,689.028025,1,yes
432,768,0,2.375,372.310981,1,yes
594,1448,0,2.5,521.928731,1,yes
594,1448,0,2.5,521.928731,1,yes
602,1448,0,2.699514,516.332034,1,yes
1259.866854,3168,0.577121,1.953073,939.665963,0,yes
1056,1056,1,0.391244,304.840942,0,yes
1088.774194,2144,0.830645,1.468466,794.211216,0,yes
1013.183099,1440,0.690141,1.81299,726.517418,1,yes
594,1448,0,2.245099,534.61575,1,yes
475.428571,768,0,1.983741,418.46609,1,yes
598,1448,0,2.036569,546.981675,1,yes
1014.5,1448,0.765625,1.738481,743.53662,1,yes
778.666667,1436,0,2.319241,689.370863,1,yes
1050.901099,1448,0.56044,2.029208,777.795724,1,yes
963.891892,1440,0.72973,1.804776,718.215803,1,yes
590,1448,0,2.245099,531.313467,1,yes
1011.555556,1440,0.5,2.323186,722.576287,1,yes
714.181818,1056,0.454545,2.096823,591.669096,1,yes
931.733333,1448,0.733333,1.791172,704.922621,1,yes
973.454545,1448,0.772727,1.724547,723.117809,1,yes
